OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
GYQFNGUZPFMLGJ-UHFFFAOYSA-N,CCN(CC1=CC(=O)N2N=C(C)SC2=N1)C1=CC=C(F)C=C1,2.9
GYRPAYDYHMZXQT-KZULUSFZSA-N,O=C(N[C@@]12C[C@@H]1CN(C1=NC(NC3=CN(CCO)N=C3)=NC=C1F)C2)C1CC1,1.74
GYRPAYDYHMZXQT-SGTLLEGYSA-N,O=C(N[C@]12C[C@H]1CN(C1=NC(NC3=CN(CCO)N=C3)=NC=C1F)C2)C1CC1,1.75
GYTCIGJZICQYCK-CMTKHDEESA-N,CC[C@H](C(=O)OC(C)C1=CC=CC=C1)[C@H](CO)CC1=CN=CN1C,2.08
GYTGWKMWOSHADY-VYXLEDAHSA-N,NC1(C(=O)NC[C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)CCCC1,3.8
GYUXCJWRETVXPT-UHFFFAOYSA-N,COCCCNCC1=CC2=C(S1)SC(S(N)(=O)=O)=C2,1.6
GYVSQNBUFKWWPG-UHFFFAOYSA-N,O=C(NCC1CCC1)C1=NC(OCCO)=CC=C1NC(=O)C1=CC=NC2=CC=CC=C12,4.0
GYWPDZGVFZEVMA-ROUUACIJSA-N,NS(=O)(=O)N1C[C@H](C(=O)NC2=CC=C(Cl)C=C2)[C@@H](C(=O)NC2=CC=C(N3C=CC=CC3=O)C=C2F)C1,1.83
GYWUHMFTMUREBX-UHFFFAOYSA-N,CC(C)NC1=NC(NC2=CN(C)N=C2)=NC2=CC=C(CC#N)N=C12,2.4
GYXJKRDYCPURGO-UHFFFAOYSA-N,COC1=CC=CC(C2=CC=C(N3CC(N4CCN(C(=O)C5=CC=CO5)CC4)CC3=O)C=C2)=C1,2.24
GYXODBZTJVUDOH-UHFFFAOYSA-N,C=CC(=O)N1CC(N2N=C(C#CC3=CC(OC)=CC(OC)=C3)C3=C(N)N=CN=C32)C1,3.0
GYZDIMGUJHYIKL-UHFFFAOYSA-N,CCCC(NC1=CC=C(N2C=C(C(F)(F)F)C=N2)C=C1)C1=CC=C(C(=O)NCCC(=O)O)C=C1,1.9
GYZOWTMQIKRUKH-BHDDXSALSA-N,CCC(CC)O[C@@H]1C=C(P(=O)(O)OCCCC2=CC=CC=C2)C[C@H](N)[C@H]1NC(C)=O,0.28
GZAVIDVIMIJHEH-UHFFFAOYSA-N,COC1=CC=CC(N(C)C(=O)C2=C(N)N(CC3=CC=C(CN4CCOCC4)C=C3)N=N2)=C1,2.0
GZCJKJJWOUAGMR-WBTGXFMPSA-N,O=C(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)C1=CNC2=CC(F)=C(C3=CC=C([C@@H]4CCCCO4)C=C3)C(F)=C12,0.08
GZCKMZURFJCTJE-ZYSHUDEJSA-N,CN1CC2=C(C1)SC(C(=O)N[C@@H]1C[C@@H](C(=O)N(C)C)CC[C@@H]1NC(=O)C1=CC3=CC=C(Cl)C=C3C=N1)=N2,2.2
GZCOFEGWHHMRLC-UHFFFAOYSA-N,NC1=NC=NC2=C1C(=O)N(C1=CC=C(C3=CC=C(CC(=O)N4CC(O)C4)C=C3Cl)C=C1)CCO2,1.1
GZCREURYZWXRHS-UHFFFAOYSA-N,COC1CCN(C2=NC=CC(NC3=CC4=C(C=N3)C=C(C3=CNN=C3)N4C(C)C)=N2)CC1,4.1
GZCVFAVIWODHRU-UHFFFAOYSA-N,O=C1C2=CC3=CC(F)=CC=C3N2C=C(O)N1O,0.71
GZDJLFSNOMJNRK-UHFFFAOYSA-N,CCC1=CN=C(N2CCC(N3CC4=CN(C5=CC=C(S(C)(=O)=O)C=C5F)N=C4C3)CC2)N=C1,2.9
GZDUDIFYOWVYPG-UHFFFAOYSA-N,CC1(C)CC2=CC(NC(=O)C3=C4N=CC=CN4N=C3)=C(N3CCOCC3)C=C2C1=O,2.8
GZDULAIGIDBVHS-UHFFFAOYSA-N,COC1=CC=C(C2=C3N=C(C)C=C(NCC4CCOCC4)N3N=C2C)C=C1OC,5.2
GZEILHMHNCEFSW-UHFFFAOYSA-N,CCC1=CC=C(N(C2COC2)S(=O)(=O)C2=CC=C3OC(C4CCOCC4)CC(=O)C3=C2)C=C1,2.72
GZENXSQONSXYLR-UHFFFAOYSA-N,CC1=C(C2=CC=CN=C2)N(C2=NC=CC=C2Cl)N=C1CNC1CCCC1,1.3
GZFGOTFRPZRKDS-UHFFFAOYSA-N,OC1=CC=C(Br)C=C1,2.55
GZHYGBSJJZPBHI-UHFFFAOYSA-N,CN(C)CC1=CC(S(=O)(=O)C2=COC(S(N)(=O)=O)=C2)=CC=C1O,0.11
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,O=C1NCCN1CCN1CCC(C2=CN(C3=CC=C(F)C=C3)C3=CC=C(Cl)C=C23)CC1,2.65
GZKNPZYWFSQGAJ-UHFFFAOYSA-N,COC(C)C1=CC(Cl)=C2CCN(CC3=C(C)C=C(C)NC3=O)C(=O)C2=C1Cl,3.3499999999999996
GZLBBCUANUAVON-UHFFFAOYSA-N,O=C(O)CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1,-1.3
GZMKOLSSUBETKL-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1CN(C(C)=O)C1=CC=CC=C1OC1=CC=CC=C1,3.9
GZNVWSHNMVIORD-DLBZAZTESA-N,N#CC1=CC=C(O[C@H]2CN(S(=O)(=O)C3=CC=C(C(F)(F)F)N=C3)C[C@@]2(O)CO)C=C1F,4.2
GZNWLVWNADXGME-JTQLQIEISA-N,CCCC1=CC(=O)N2NC(N[C@@H](C)C3=CC=C(Br)C=C3F)=C(C#N)C2=N1,3.55
GZNWLVWNADXGME-SNVBAGLBSA-N,CCCC1=CC(=O)N2NC(N[C@H](C)C3=CC=C(Br)C=C3F)=C(C#N)C2=N1,3.69
GZOHJMBMJCFTOF-KTHDQMQHSA-N,CC(CO)C(=O)N1[C@H](C2=C(F)C=C(OCCN3CC(CF)C3)C=C2F)C2=C(C[C@H]1C)C1=CC=CC=C1N2,1.8
GZPHANAWJQENLY-UHFFFAOYSA-N,CCOC1=CC(Cl)=C(C(=O)NC2=NC3=CC=CC=C3S2)C=C1N1CCOCC1,4.3
GZPZLBPJFAJOPA-UHFFFAOYSA-N,CC1=CN(CCC#N)C(=O)C2=CC(CN3N=C(C(F)(F)F)C=C3Cl)=NN12,2.32
GZRAEWKMFPWXNW-UHFFFAOYSA-N,CC1=CC=C(Cl)C(NC2=CC=CC=C2CC(=O)O)=C1Cl,1.69
GZRBSUJJSIHKKU-UHFFFAOYSA-N,O=C(OCC1=CC=CN=C1)N1CCC2(CC1)C(=O)NCN2C1=CC=CC=C1,2.5
GZRMIZIFZPPLNT-UHFFFAOYSA-N,COC1=CC=C(C(=O)CN2C(=O)NC(C)(C3=CC=C(S(N)(=O)=O)C=C3)C2=O)C=C1,2.86
GZROGNQCZLQRBT-KEZOAJOQSA-N,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](N1C(C)=NC3=C1CN(S(C)(=O)=O)CC3)C2)C1=CC=CC=C1,0.9
GZRXQKYBBBCJNT-UUYGFNDFSA-N,COC1=CC(C2=CN=C(C3CCC4=CC=C([C@H](C5CC5)[C@H](C)C(=O)O)C=C4O3)C(F)=C2)=C(F)C=N1,2.36
GZTMFRUGZMZCRD-CFBAGHHKSA-N,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSC1=CC=CC=C1C(N)=O,6.03
GZUITABIAKMVPG-UHFFFAOYSA-N,O=C(C1=CC=C(OCCN2CCCCC2)C=C1)C1=C(C2=CC=C(O)C=C2)SC2=CC(O)=CC=C12,1.725
GZWFWMDJUPEGQW-JCGIZDLHSA-N,O=S(=O)(NC1=CC=NC=N1)C1=CC2=C(C=C1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1C1=CNN=C1)CCO2,1.1
GZXRFDYECYFNCR-LSDHHAIUSA-N,CC1=CC(C)=NC(NC2=CC(N[C@@H]3CCCC[C@@H]3N)=CN=C2C(N)=O)=C1,2.1
GZXWMFLENSULBI-UHFFFAOYSA-N,CNC(=O)CN1CCC(C2=CC3=C(C4=CN(C(C)C)C(=O)C=C4)C=CN=C3N2)CC1,2.2
GZXZHEGMUIPFJM-UHFFFAOYSA-N,CC(C#CC1=CC=NC=C1)N1NC(=O)C2=C(C(=O)C3=CC=C(Cl)C=C3N2)C1=O,1.7
GZZCESIOAYQAEA-UHFFFAOYSA-N,COC1=CC(F)=CC=C1C1=CN=C2SC(N3CCC(CN)(C(N)=O)CC3)=NN12,1.5
HAADVGFSSKITLQ-SJORKVTESA-N,O=C(NC[C@@H]1C[C@@H](F)CN1)C1=CC=C(C2=CN=C3C=CC(NCCCCCF)=NN23)C=C1F,3.3
HABCYBHVRIUDAJ-MVBICSQHSA-N,O=C(N[C@H]1C2CC3CC1C[C@](O)(C3)C2)C1=CN=CS1,0.8
HABQUHFLUYTTAD-SFHVURJKSA-N,N#CC1=CC=CC(S(=O)(=O)N(CC2=CC=C(F)C=C2)C[C@@H]2CCCC(=O)N2)=C1,2.9
HACNNPZTQXJOLZ-NSHDSACASA-N,CC(C)N1N=C(N)N=C1C1=CN2CCOC3=CC(O[C@@H](C)C(N)=O)=CC=C3C2=N1,1.1
HADRFJLXOJPPBT-OAHLLOKOSA-N,C[C@@](CCN1C=C(C2=CC=CC=C2)C=N1)(C(O)=NO)S(C)(=O)=O,1.04
HADXKXVKBWFQGK-JTQLQIEISA-N,C[C@H](OC1=CC=C(NC(=O)CC(N)=O)C(C2CC2)=C1)C1=C(Cl)C=CC(F)=C1Cl,3.9
HAEGCPWGOWFFHK-UHFFFAOYSA-N,O=C(NCC1CC1)C1=CN=CC(NCCC2=CC=CC(O)=C2)=N1,3.2
HAERTXCGPNRZOT-UHFFFAOYSA-N,COC(=O)NCC1=CC=C(Cl)C=C1CNC(=O)CC1=C(C)CCN(NCC2=CC=CC(C(=O)OC)=C2)C1=O,2.9
HAEZNAGXRGHZJV-UHFFFAOYSA-N,CN1CC2CCC1(C(NC(=O)C1=CC=CC(C(F)(F)F)=C1Cl)C1=CC=CN=C1)CC2,2.3
HAFBPVOPBRQKOM-UHFFFAOYSA-N,C1=CN=CC(C2=CC=C(C3=NOC(C4CN5CCC4CC5)=N3)O2)=C1,0.7
HAFOGBSDRDOXJR-CRCJWISWSA-N,O=[N+]([O-])C1=NC=CN1CC(O)CNC1C2CCC(C2)[C@@H]1Br,1.36
HAGYPGDPOSLPIP-UHFFFAOYSA-N,COC1=CC=C(OC)C(S(=O)(=O)N(C)CC2=CC=C(F)C=C2)=C1,3.7
HAHBAMAGBRFOBR-UHFFFAOYSA-N,CC(C)N(CC1=NO[N+]([O-])=C1C#N)C(C)C,2.35
HAHBYABDAIXZLF-INIZCTEOSA-N,COC[C@H](NC1=CC(F)=C(S(=O)(=O)NC2=NC=CS2)C=C1Cl)C1=CC=CC=C1,2.8
HAIAAIJIWPJYMK-UHFFFAOYSA-N,CC1=CN2C(OCCCOC3=CC=C(C)N=C3)=C(C3=CC=C(F)C=C3)N=C2C=C1,4.1
HAJGXHSXNVUZJG-UHFFFAOYSA-N,C1=CC2=C(C=C1CN1CCC3(COC3)C1)OCO2,0.7
HAJRCWPFNCVVCY-UHFFFAOYSA-N,C=CC(=O)NC1=CC=CC(OC2=NC(NC3=CC=C(N4CCN(C)CC4)C=C3)=NC3=C2C=CN3)=C1,2.7
HAMIJSFHHBSZPB-JCNLHEQBSA-N,CN(C)[C@H]1CC[C@H](NC2=NC(NC3=CN(C(C)(C)C)N=C3)=NN3C=CC=C23)CC1,1.6
HANNCOPSXXARJM-UHFFFAOYSA-N,CC(NC1=CC(F)=CC(F)=C1)C1=CC(C(=O)N2CCOCC2)=CC2=C1OC(N1CCOCC1)=CC2=O,1.7
HANOSGYMKMNFON-UHFFFAOYSA-N,NC1=NC(=O)C2=C(N1)N(CC1=CC=CS1)C(N)=N2,0.19
HAOJZJBZTKOEDO-HJGJAMNPSA-N,N#CC[C@]1(N2C=C(C3=NC(C4=CNN=C4)=CN4N=CC=C34)C=N2)C[C@H](C#N)C1,1.7
HAOJZJBZTKOEDO-XVDXERDNSA-N,N#CC[C@]1(N2C=C(C3=NC(C4=CNN=C4)=CN4N=CC=C34)C=N2)C[C@@H](C#N)C1,1.6
HAPOVYFOVVWLRS-UHFFFAOYSA-N,CCC1(C)CC(=O)NC1=O,-0.33
HAQDEJPEAKWAAM-UHFFFAOYSA-N,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1C1=CC=CC(Cl)=C1Cl,3.8333333333333335
HAQKLGJJQPPHIQ-UHFFFAOYSA-N,CC1=CC2=C(C=C1Cl)N=C(C1CCN(CCN3C(=O)C=CC4=NC=C(F)C=C43)CC1)N2,3.7
HARBDNRHGGVYDE-UHFFFAOYSA-N,CNS(=O)(=O)C1=CC=C(C2=CN=C(N)C(C3=CC=C(C(F)(F)F)N=C3)=N2)C=C1,2.8
HARIOISNLHCOKD-GPCCPHFNSA-N,C[C@@H]1[C@H]2C[C@H](CN2)N1C1=NC2=C(C=C1F)C(=O)C(C(=O)O)=CN2C(C)(C)C,0.17
HARIOISNLHCOKD-IMSIIYSGSA-N,C[C@H]1[C@H]2C[C@H](CN2)N1C1=NC2=C(C=C1F)C(=O)C(C(=O)O)=CN2C(C)(C)C,-0.22
HARKKFDJIMGAFT-JTQLQIEISA-N,CC1=C(F)C(N2CC[C@H](N)C2)=NC2=C1C(=O)C(C(=O)O)=CN2C(C)(C)C,1.14
HARODFJTMYEXEK-UHFFFAOYSA-N,CSC1=CC=C2N=C(C)C=C(OCC(=O)NC3=CC(C)=CC(C)=C3)C2=C1,6.42
HARRKNSQXBRBGZ-GVKWWOCJSA-N,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)CN4C=C(C#N)C=N4)CC[C@@H]32)C1,4.6
HARYSQGQDYRVSV-UHFFFAOYSA-N,O=C1NC=CC2=C1SC1=CC=CC=C12,3.62
HAUMYWOFYMISMO-UHFFFAOYSA-N,CCCCNC1=NC(NCC2=CC=CC=C2)=NC2=CC=CC=C12,3.3499999999999996
HAVDEXCOXYAUSD-UHFFFAOYSA-N,CN(C)C1CN(CC2=CC=C(NC(=O)C3=CC=C(OCCCl)C([N+](=O)[O-])=C3)C=C2C(F)(F)F)C1,3.5
HAVDJBAPXOBCGN-GKQYAISLSA-N,COC12[C@@H]3N[C@@H]3CN1C1=C(O)C(C)=C(N=C3C=CC(=N)C=C3)C(O)=C1[C@@H]2COC(N)=O,0.07
HAWPXGHAZFHHAD-UHFFFAOYSA-N,CN(CCCl)CCCl,-0.5449999999999999
HAWRYOGFNKHPCY-UHFFFAOYSA-N,CCOC1=CC=CC=C1C1=CC=C(C2=NC3=CN=CC=C3C=C2C#N)C=C1,3.8
HAXIOICGNCICAB-UHFFFAOYSA-N,COC1=NC=NC(CN2C=C(C(=O)NCC(F)F)C3=NC=C(C)C=C32)=C1C,2.9
HAXWHCQECJELIW-HXUWFJFHSA-N,O=C(COC1=CC=CC=C1)N1CCCC[C@@H]1C1=NOC(C2=CN=NC3=CC=CC=C23)=N1,2.895
HAYDYFNDRBBNRE-UHFFFAOYSA-N,COC1=CC(OC)=C(C(=O)NC2=CC=C(C3=CC=CN=C3)C=C2F)C=C1OC,2.84
HAYGNNHVUSBUBN-UHFFFAOYSA-N,FC1=C(CN2C=CC3=C(OC4CCN(CC5=CSC=N5)CC4)N=CN=C32)C=CC=C1C(F)(F)F,4.08
HAYQMMTYYBRDQT-IYBDPMFKSA-N,COCC1=CC=C(C2=CC3=C(C=C2F)N=CC2=C3N([C@H]3C[C@@H](OC)C3)C(=O)N2C)C=N1,2.7
HAYQMMTYYBRDQT-WKILWMFISA-N,COCC1=CC=C(C2=CC3=C(C=C2F)N=CC2=C3N([C@H]3C[C@H](OC)C3)C(=O)N2C)C=N1,3.0
HAZRPSWLIVDAIT-UHFFFAOYSA-N,O=C1C2=NC3=CC=CC(C(F)(F)F)=C3N2CCN1CC1CCC1,3.09
HAZWCBBZPXYGHA-UHFFFAOYSA-N,CC1=NC(C)=C(C(=O)N2CCCC(C3=CC4=NC=CC=C4N3)C2)O1,2.15
HAZXYRGHMMGPLW-UHFFFAOYSA-N,ClC1=CC(NCCN2CCCC2)=C2C=C3C(=NC2=C1)C1=CC=CC=C1N3CCN1CCCC1,1.52
HBAATYPOIUKKFI-HAQNSBGRSA-N,CC1=CC2=C(N[C@H]3CC[C@H](N(C)C)CC3)N=CN=C2S1,0.6
HBAPJJUPCAYXNL-IAGOWNOFSA-N,CC1=CC2=CC=NC(N[C@@H]3CCNC[C@H]3C(=O)NCC3CCCC3)=C2NC1=O,2.36
HBAYELCLYQCKKQ-UHFFFAOYSA-N,COC(=O)N1CC(OC2=CC=CC(F)=C2)CC1C(=O)N1CCCN(C2CCC2)CC1,1.8
HBBRUUXKEORNDR-CMPLNLGQSA-N,C[C@H]1CC2=C(N3CC[C@@H](C4(N)CC4)C3)C(F)=CC3=C2N1C(=O)C(C(=O)O)=C3,-0.51
HBBYOXWWUDCWQZ-UHFFFAOYSA-N,COC(C1=CC(Cl)=C2CCN(CC3=C(C)C=C(C)NC3=O)C(=O)C2=C1Cl)C1CCN(C)CC1,1.45
HBDJBRHKKWTTAR-UHFFFAOYSA-N,CCN(CC1=CC(=O)N(CC2CC2)C(C)=N1)C1=CC=C(F)C=C1,2.9
HBECBPPEGSCURU-UHFFFAOYSA-N,CCS(=O)(=O)NC1=CC=C(OC2=CC=C(F)C=C2F)C(C2=CN(C)C(=O)C=C2OC2COC2)=C1,2.8
HBEKZZYRKMONPU-UHFFFAOYSA-O,C[N+]1=C(/C=N/O)N(CCN(CC2=CC=CC=C2)S(=O)(=O)C2=CC=CC=C2)C=C1,-0.49
HBEWADIWKZVJSD-UHFFFAOYSA-N,NC(=O)COC(=O)C1=CC=CC=C1,0.09
HBFOLOLPCTXVRF-ZBBILAOMSA-N,O=C(O)CCCOC1=CC=C([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)C=C1,3.6
HBGLUUIVPXTNHF-YRVHBCJASA-N,COC1=CC=C(C2=CC=C(C(=O)O)C=C2C)C=C1C1=CN=C(N(C)C)N=C1CN1C(=O)O[C@H](C2=CC(F)=CC(F)=C2)[C@@H]1C,3.8
HBGWEOSHQILMON-BTTYYORXSA-N,CC1=CC2=CC=NC(N[C@H]3C[C@H]4CC[C@@H](C3)N4C)=C2NC1=O,1.2
HBGWEOSHQILMON-ZSOGYDGISA-N,CC1=CC2=CC=NC(N[C@@H]3C[C@H]4CC[C@@H](C3)N4C)=C2NC1=O,1.0
HBHNPPYDPGIZKY-UHFFFAOYSA-N,CC(C)NC1=NC2=CC=CC=C2C(=O)O1,2.4
HBIBXIPSNUTYOO-UHFFFAOYSA-N,FC1=CC=C(C2=C(C3=CC=NC(N4CCC(N5CCOCC5)CC4)=N3)SC(C3CCNCC3)=N2)C=C1,2.83
HBIDSBZKIOZROC-AATRIKPKSA-N,COC1=CC(C#CC2=NN(C3CN(C(=O)/C=C/CN(C)C)C3)C3=NC=NC(N)=C23)=CC(OC)=C1,2.3
HBIFNWXYLNVLIK-ZDUSSCGKSA-N,COC[C@H](C)OC1=CC(OC2=CN=C(C(=O)N(C)C)N=C2)=CC(C2=NC(=O)C=CN2)=C1,0.43
HBIUBSOPLKRPCY-MJGOQNOKSA-N,CCC[C@@H](NC(=O)C1=CC=CC2=C1C=C(O)N2)[C@@H](O)C1=CC=CC(Cl)=C1,3.7
HBIVOFYHPTUYOO-MOKFRJNCSA-N,CC(C)(OC1=CC=C([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)C=C1)C(=O)O,3.1
HBJPMZKBTMDWFQ-IAGOWNOFSA-N,CC1=NC2=NC(N[C@H](CC#N)C3=CC=CC(Cl)=C3)=NN2C(NC[C@@H](N)C2=CC=CS2)=C1,3.3
HBJVPIPPULFYOI-UHFFFAOYSA-N,COC1=CC=C2N=C(C)C=C(OCC(=O)NC3=CC(C)=CC(C)=C3)C2=N1,5.57
HBKKPKDKQLHNIX-RULNCXCMSA-N,CCOC(=O)C1=C[C@H](N=C(N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1,-0.28
HBKNYCNRLQRBEQ-UHFFFAOYSA-N,CCNC(=O)N1C=CC(CN2C(C(=O)CC)=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3C2=O)=N1,4.51
HBMLXCGASIOVJH-UHFFFAOYSA-N,N#CC1=CC=C(C2=CC=C(C3=CC=CC(CNCCCCCCNC4=CC=NC5=CC=CC=C45)=C3)S2)C=C1,3.08
HBNPJJILLOYFJU-VMPREFPWSA-N,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=CC(F)=CC=C2[C@@H]1C(C)C,2.29
HBNQGHTYKIVMHO-QCZWDIFZSA-N,CCN1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](CC2=CC=CS2)NC(=O)[C@@H](CC(=O)N2CCOCC2)CC2=CC=CC=C2)OC1=O,3.59
HBNUKMHNLMOGPD-KGXZHFCSSA-N,CCN(CC)CC1=CC(C(=O)NC2=C(O)C3=CC=C(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(N)=O)[C@H]4O)C(C)=C3OC2=O)=CC(CC=C(C)C)=C1O,1.115
HBNXSLKZUGSSQM-UHFFFAOYSA-N,CCCOC1=CC(C)=C(C2=CC=CC(CNC3=CC=C(OCC(=O)O)C(F)=C3)=C2)C(C)=C1,3.59
HBOMLICNUCNMMY-XLPZGREQSA-N,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,0.05
HBPCWQIREADORP-CQSZACIVSA-N,CC1=C(C2=NOC([C@H]3CCCCN3C(=O)COC3=CC=CC=C3)=N2)SN=N1,3.045
HBPIIEKLPQMRBU-INIZCTEOSA-N,CC(C)C[C@H](NC(=O)NC1=CC=C(Br)C=C1)C(=O)NC1=CC=CN=C1,4.2
HBSAUESUTTXZJO-FPTDNZKUSA-N,C[C@@H]1N=C(C2=CC=CC(S(C)(=O)=O)=C2)N[C@@]1(C1=CC=C(F)C=C1)C1=CC=C(F)N=C1,2.9
HBTICVCIITXGRS-UHFFFAOYSA-N,CN(C)C1=CC=C(C2=NC3=CC(OCCOCCOCCF)=CC=C3O2)C=N1,3.26
HBUQPGAOVFRJMM-QMMMGPOBSA-N,COC1=CC(C2=NOC([C@H](C)NC(=O)C3=CC(C(F)(F)F)=NN3C)=N2)=CC=N1,3.4
HBUUXNLLVVXMKF-UHFFFAOYSA-N,CCCCC1=CC=C(C2=NC(CNCCN(C)C)=CO2)C=C1,4.97
HBUVPJCWKMCZHV-UHFFFAOYSA-N,NC1=NC=C(C2=CC=C(C(=O)N3CCOCC3)C=C2)C=C1C1=CC=C(C(F)(F)F)N=C1,2.4
HBVFIJPGIBPGQD-UHFFFAOYSA-N,CCOC(=O)C1=C(C)N=C(OCC2=CN(CCCNC3=CC=NC4=CC(Cl)=CC=C34)N=N2)N=C1C,0.42
HBVQASAFMJBHFJ-FQEVSTJZSA-N,CC1=CN2N=C([C@@H]3CCCCN3C(=O)C3=CC(Cl)=CC=C3NS(C)(=O)=O)C=C2N=C1N1CC(F)C1,3.7
HBYVDORXKRHBBS-UHFFFAOYSA-N,CCC(CC)CNC1=C(C(N)=O)C=NC2=CC=C(C3=CC=NC=C3)C=C12,3.3
HBZWTNGPHZDXQT-HTGHDYPLSA-N,CC1=CC=CC=C1OCC(O)COC(=O)CCC(=O)/C=C/OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0.04
HBZXIWJRQLOWPC-UHFFFAOYSA-N,O=C1CCC(N2C(=O)C3=CC=C(N4CCN(C(=O)C5CCN(C6=CC=C(NC(=O)C7=CN=C(OC8=CC=CC=C8)N=C7)C=C6)CC5)CC4)C=C3C2=O)C(=O)N1,3.33
HCBANTSERUTQBP-JOCQHMNTSA-N,CN(C)[C@H]1CC[C@H](NC2=NC=NC3=C2C(C(C)(C)C)=CN3)CC1,1.7
HCBFTZDWYDBNFA-UHFFFAOYSA-N,CN1CCN(C(=O)N2CC3=C(NN=C3NC(=O)C3=CC=CC=C3)C2(C)C)C(C2=CC=CC=C2)C1,3.2
HCBQJHASLYAXLH-UHFFFAOYSA-N,O=C(O)CCCOC1=CC=CC(CCCCCCOC2=CC(C3=CC=NC=C3)=CC(C3=CC=NC=C3)=C2)=C1CCC(=O)O,1.78
HCBSSGQSRQHLQJ-VLGSPTGOSA-N,CCN(CC)CCS/C(=N\O)C1=NC(CC2=CC=CC=C2)=NO1,1.28
HCCCXYXLHKNDRB-UHFFFAOYSA-N,CC1=CC=CC2=NCC(C(=O)C3=CC=CC=C3)CN12,1.5
HCCLOZIGOHDHLA-UHFFFAOYSA-N,O=C(O)CC(NC(=O)CCCCC1=CC=C2CCCNC2=N1)C1=CC=C(F)C=C1,1.75
HCFFMKFEFPQPLK-SSEXGKCCSA-N,C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C2N1C1=CC=C2CC[C@@](O)(C3CC3)C2=N1,2.4
HCGIRXDLCPUVSS-UHFFFAOYSA-N,COC1=CC(C2=NN=C3N2CCCC32OCC3=C(C=CC=C3C(F)(F)F)N(CC(F)(F)F)C2=O)=CC=C1C1=CN=C(C)O1,2.9
HCJKMKYHJIFLSL-UHFFFAOYSA-N,CC(NC1=CC=CC(F)=C1F)C1=CC(C(=O)N(C)C)=CN2C(=O)C=C(N3CCOCC3)N=C12,2.7
HCJMENULUKECRL-UHFFFAOYSA-N,COC1=NC=C(N2CCOCC2)C=C1S(=O)(=O)NC1=CC=NC(C2=CC=C(CN3CCN(C(C)C)CC3)C(F)=C2)=C1,1.8
HCJYDJMLQMLSAN-UHFFFAOYSA-N,COCCN(C)CC1=C(C2=CC=C(NC(=O)NOC)C=C2)SC2=C1C(=O)N(C1=CC=C(C)C=N1)C(=O)N2CC1=C(F)C=CC=C1F,1.8
HCKANBJXORAWTC-ROUUACIJSA-N,CN1C=C(C2=NC=C(C#N)C(N3C[C@@H]4C[C@H]3CN4C3=CC=CC(F)=C3)=N2)C=N1,3.1
HCKKECXLPYQRMT-MEVXHZMZSA-N,CC(C)(C)C#CC1=CC(N(C(=O)[C@H]2CC[C@H](C)CC2)[C@H]2CC[C@](O)(CO[C@H]3CCOC3)CC2)=C(C(=O)O)S1,2.4
HCKUBNLZMKAEIN-GSVOUGTGSA-N,N[C@@H]1CCN(O)C1=O,3.52
HCLJUTUEYQNOIJ-UHFFFAOYSA-N,CC1=CC2=C(C=C1S(=O)(=O)NC1=CC=C(C(F)(F)F)C=C1)C(=O)NC(C)(C)C(=O)N2,3.0
HCLMHNUCNNBTLD-UHFFFAOYSA-N,COC1=CC=CC=C1C1=NN=C(NC2=CC=C(CC(N)=O)C=C2)C2=C1CCC2,2.3
HCMIUKMOMKYTRT-CLHGKBQVSA-N,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@]4(C)C(=CC(=O)O[C@H]4C4=COC=C4)[C@]2(C)/C(=N\OCCN2CCCCC2)C[C@@H]13,0.81
HCNPOKMAXKNMER-UHFFFAOYSA-N,COC1=CC=C2N=C(C)C=C(OCC(=O)NC3=CC(F)=CC(F)=C3)C2=C1,5.13
