logD
3.3
2.0
3.7
2.92
-1.8
-0.125
3.3
4.3
-3.036
2.51
1.1
-1.0
2.297
3.9
1.7
3.1
3.53
5.59
3.4
1.6
2.4
0.162
2.9
1.8
4.1
-0.54
2.82
2.3
1.4
2.6
3.7
6.56
2.4
4.8
0.25
2.6
2.3
3.1
1.2
1.3
3.1
1.57
4.1
0.9
3.2
2.2
3.77
2.0500000000000003
3.4
3.2
3.4
4.5
1.65
3.4
2.0
0.8
2.1
1.36
3.7
2.5
3.7
2.6
1.7
4.390000000000001
1.77
-0.3
1.98
0.69
1.0
4.529999999999999
5.64
3.51
0.8
2.95
1.0
1.46
3.86
-0.44
-1.72
1.6
0.25
5.7
2.0
-3.1
3.0
2.2
0.3
4.58
2.35
2.1
5.0
1.77
3.0
-1.73
3.5
0.2
1.4
2.1
4.550000000000001
1.8
0.98
2.06
1.9
-0.43
2.9
2.5
1.1
0.66
0.39
2.1
6.74
2.3
3.2
-3.27
3.2
2.63
1.0
2.49
3.99
4.1
1.0433333333333332
2.2
1.0
1.39
1.8
0.8
2.3
2.8
2.11
2.95
2.5
3.08
1.2
2.6
1.8
2.67
1.51
1.5
2.5
2.74
1.0
-0.34
1.3
3.4
2.0
-0.2
0.5
3.3
1.8
-0.53
2.02
1.53
2.3
4.2
3.1
3.1
3.3
0.8
1.7
1.7
2.4
1.32
2.9599999999999995
4.1
1.51
2.9
3.1
2.7
1.6
1.3
1.6
1.7
2.2
1.9
4.1
1.9
2.0
1.29
1.3
3.2
2.3
1.96
2.9
3.4
2.815
3.4000000000000004
2.84
-0.4
3.62
3.08
2.85
3.1
2.5
3.13
3.59
2.4
0.22
3.3
4.0
4.766666666666667
2.8
0.59
1.3
2.6
0.05
3.37
2.0
0.13
4.4
1.85
3.44
1.2
4.61
3.2
1.8
2.54
2.07
1.98
2.4
1.2
2.85
2.2
2.0
3.8
1.8
3.4
2.0
3.6
1.9
3.4
2.61
1.44
4.49
3.1
3.6
1.63
1.7
3.02
4.04
3.5
1.52
1.07
2.8
2.0
1.1
1.992
4.2
2.42
1.3
5.6
1.9
3.92
2.3
1.5
2.4
5.44
3.1
-1.337142857142857
-1.21
3.56
2.1
6.38
1.0
1.6
0.12
6.1
2.0
4.63
1.8
3.09
4.65
4.0
4.1
2.8
0.8
1.51
1.63
3.74
3.55
2.66
3.2
3.1
3.5
4.0
4.2
-0.79
3.2
1.99
3.0
2.1
2.48
3.5
3.2
4.8
1.8
1.7
2.9
4.7
1.8
2.1
4.3
2.0
-1.7420000000000002
3.1
2.9
3.2
2.32
-0.64
4.68
3.53
2.45
1.64
3.21
1.7
2.5
1.7
3.38
0.5
3.7
4.24
0.7
1.94
2.7
2.87
4.25
4.6
-3.83
2.7
1.1
3.0
2.94
1.4
2.0
4.6
2.6
1.76
3.3
3.0
0.7
1.5
4.25
4.6
2.07
2.5
7.1
4.3
2.7
1.5
4.32
3.69
5.0
1.3
-0.16
2.4
2.39
-0.4
4.11
3.1
3.1
3.4
3.1
5.03
1.89
3.2
1.52
2.1
1.0
0.7
1.2
-0.5
1.162
-0.3
0.7250000000000001
2.7
2.9
3.5
4.0
2.2
1.4
0.2
-0.2
0.3
3.81
5.31
4.03
-0.1
2.14
