logD,caco2_atob_LogPapp,caco2_btoa_LogPapp,mppb_LogUnbound,hppb_LogUnbound
2.9899999999999998,-5.113509274827519,-4.863279432843593,1.9444826721501687,1.841984804590114
3.0,,,,
,,,,-0.06214790674884067
3.2,,,,
,,,,0.6785183790401136
,,,,1.6020599913279623
1.0,,,,
-0.02,,,,
0.09,,,,
,,,,-0.6989700043360126
,-4.617082864912469,-4.565271458220242,1.2504200023088938,1.3483048630481607
2.6,,,,
2.8,,,,
3.1,,,,
2.73,,,,
-1.41,,,,
2.8,,,,
2.4,,,,
5.7,,,,
1.534,,,,
0.8,,,,
3.6,,,,
,-6.096910013008056,,,
3.2,,,,
3.39,,,,
1.54,,,,
3.1,,,,
,,,,-0.1549019599857414
0.35,,,,
5.2,,,,
4.21,,,,
,-5.221848749616356,,,1.9912260756924949
2.07,,,,
1.79,,,,
2.62,,,,
4.3,,,,
,,,,1.2763468962530335
4.1,,,,
3.55,,,,
,,,0.9030899869919435,0.9030899869919435
,-5.221848749616356,-4.574628833561059,,
2.2,,,,
2.8,,,,
0.87,,,,1.0038911662369108
2.14,,,,
2.2,,,,
,-4.698970004336019,-4.585026652029182,,
1.7,,,,
2.1,,,,
,,-5.585026652029182,,
2.9,,,,
1.54,,,,
1.2,-5.698970004336019,,,
3.7,,,,
-2.72,,,,
4.3,,,,
,,,,-0.3665315444204066
,-4.8297382846050425,-4.694648630553377,,
4.5,,,,
,,-5.6595558851598815,,
,,,,1.3617278360175928
5.6,,,,
5.8,,,,
4.2,,,,
1.73,,,,
,,,,0.3979400086720376
2.9,,,,
4.32,,,,
2.5,,,,
2.4,-4.769551078621726,,,
0.7,,,,
1.6,-4.958607314841775,-4.721246399047171,,
6.22,,,,
3.3,,,,
3.4,-6.3979400086720375,,,
-0.7,,,,
,,,,0.04532297878665721
3.46,,,,
-0.72,,,,
2.66,,,1.5563025007672873,1.5314789170422551
,,,0.041392685158222794,
,,,0.5563025007672866,0.6901960800285142
3.9,,,,
,,,,-0.39794000867203144
,,,,1.1760912590556813
3.2,,,,
2.22,,,,
-0.1,,,,
,-7.3979400086720375,-5.903089986991944,,
2.0,,,,
2.8,,,,
,-5.33913452199613,-5.215382707367125,,
,,,,-0.39794000867203144
3.0,-4.540607512240769,,,
1.4,,,,
1.4,,,,
1.9049999999999998,-5.431798275933005,-5.086186147616283,,
2.4,,,,
4.2,,,,0.0
0.66,,,,
3.0,,,,
2.81,,,,
1.395,,,,
3.4,,,,0.3010299956639812
2.5,,,,
,,,,-0.9208187539523587
0.58,,,,
-0.13,,,,
-1.03,,,,
4.43,,,,
1.6,,,,
2.11,,,,
3.0,,,,
2.5,,,,
0.56,,,,
